ï»¿web-scraper-order,web-scraper-start-url,department,department-href,courseprefix,course_id,title,lectures,labs,units,prequisites,concurrent,corequisites,recommended,term_offered,description,,
1539935039-3891,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 101,Orientation to Horticulture and Crop Science,1,,2,,,,,F,"Understand the depth and breadth of horticulture, field crops, and plant protection careers. Examination of curricula within the department. Introduction to both student and professional organizations. Emphasis on curriculum and career planning. Required of all Horticulture and Crop Science students. Credit/No Credit grading only. 1 lecture, 1 activity.",,
1539935039-3892,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 110,"People, Pests and Plagues",3,,4,,,,,"F, W, SP","Introduction to the science of entomology, focusing on insect identification, biology, ecology, and interactions with humans. Insect pest and beneficial species, and their role in shaping how we live, work and eat. Not open to Agricultural and Environmental Plant Sciences majors or Wine and Viticulture majors (viticulture concentration). 3 lectures, 1 activity. Fulfills GE B2 & B4.",,
1539935039-3893,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 120,Principles of Horticulture and Crop Science,3,1,4,,,,,"F, W, SP","Introduction to horticulture and crop science. Basic plant processes, classification, anatomy, physiology, and biotechnology. Effect of environment on plants and how we control it. Introduction to plant growth including propagation, media, irrigation, nutrition, management, harvest, and post harvest handling. People's use of plants. Field trip required. 3 lectures, 1 laboratory.",,
1539935039-3894,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 123,Landscape Installation and Maintenance,3,1,4,AEPS 120,,,,W,"Planting and maintenance of trees, shrubs, ground covers, perennial plantings, color beds, specialty plantings, and small turf areas.  Site selection, cultural requirements, scheduling of maintenance activities, pruning, landscape renovation and irrigation system repair.  Equipment operation, maintenance, and safety.  Speakers from industry.  3 lectures, 1 laboratory.",,
1539935039-3895,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 124,Plant Propagation,3,1,4,AEPS 120 and BOT 121,,,,SP,"Plant propagation practices with emphasis on understanding why practices are used, how they work, and how they are applied in commercial horticulture.  Field trip required.  3 lectures, 1 laboratory.",,
1539935039-3896,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 126,Landscape Construction,2,1,3,AEPS 120,,,,F,"Design, construction techniques, and materials used in landscape and horticulture construction.  Material quantity estimating, sustainable building practices, construction material substitutions, tools and equipment associated with landscape and horticulture construction, and equipment safety.  Field trip required.  2 lectures, 1 laboratory.",,
1539935039-3897,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 127,Horticulture and Landscape Design,2,2,4,,,,,W,"Aesthetic aspects of environmental horticulture, introduction to computer aided design, presentation techniques and garden history. Field trip required. 2 lectures, 2 laboratories.",,
1539935039-3898,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 132,Pomology I,3,1,4,AEPS 120,,,,W,"Orchard design and development, cultural practices, physiological responses of trees to cultural practices, propagation and strategies to maximize orchard profitability and sustainability.  Not open to students with credit in AEPS 250.  3 lectures, 1 laboratory.",,
1539935039-3899,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 133,Pomology II,3,1,4,AEPS 132,,,,SP,"Analysis of production and management strategies for major fruit and nut crops in California.  3 lectures, 1 laboratory.",,
1539935039-3900,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 150,Forage Crops,3,1,4,,,,,F,"Forages as a world resource in food and animal production, soil and water conservation and sustainable agricultural systems. Forage use systems: pasture and range, green chop, silage, hay and cubes. Identification and management of limiting factors of forage plant growth. Botany of legumes and grasses. Grass, legume and weed identification. Forage crop improvement. Forage composition and quality. Antiquality factors. 3 lectures, 1 laboratory.",,
1539935039-3901,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 175,Beekeeping,2,1,3,,,,,"F, SP","Studies and exercises in the handling of European honey bees with special reference to pollination of commercial crops. Honey processing and marketing. Hive inspection and disease detection. 2 lectures, 1 laboratory.",,
1539935039-3902,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 190,California Vegetable Production,3,1,4,AEPS 120,,,,SP,"History, botany, growth characteristics and climatic adaptation, pests, and harvesting methods for the most important vegetable crops grown in California.  Use of transplants, plastic mulches and row covers in vegetable production.  Current topics in agriculture important to the vegetable industry.  Field trip to a major California vegetable production area required.  Survey of vegetable production for Agricultural and Environmental Plant Sciences majors.  3 lectures, 1 laboratory.",,
1539935039-3903,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 200,Special Problems for Undergraduates,,,1-4,Consent of instructor,,,,"F,W,SP,SU","Individual investigation, research, studies, or surveys of selected problems.  Total graduation credit limited to 4 units, with a maximum of 4 units per quarter.  Report required.",,
1539935039-3904,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 202,Fruit Enterprise Project,1,,2,,,,,"F, W, SP","Beginning field experience in management of orchards or honeybees. May include cultural practices, harvesting, processing, sales and marketing activities. Credit/No Credit grading only. 1 lecture, 1 activity.",,
